Frequenz (Hz)	Pegel (dB)
633,883667	-90,607613
634,556580	-93,316223
635,229492	-92,867287
635,902405	-91,988800
636,575317	-90,441551
637,248230	-89,333961
637,921143	-89,438599
638,594055	-90,226364
639,266968	-87,364426
639,939880	-85,066948
640,612793	-84,045883
641,285706	-84,940926
641,958618	-85,189857
642,631531	-84,152733
643,304443	-83,233177
643,977356	-84,386978
644,650269	-83,447411
645,323181	-82,484390
645,996094	-83,686623
646,669006	-85,745956
647,341919	-84,121254
648,014832	-83,471359
648,687744	-84,305595
649,360657	-83,504196
650,033569	-81,656509
650,706482	-81,466507
651,379395	-80,710304
652,052307	-81,634781
652,725220	-81,594048
653,398132	-81,553139
654,071045	-82,552361
654,743958	-81,811287
655,416870	-81,325653
656,089783	-81,905228
656,762695	-82,255753
657,435608	-81,337959
658,108521	-81,434097
658,781433	-83,502312
659,454346	-84,329651
660,127258	-85,448326
660,800171	-86,135063
661,473083	-84,432388
662,145996	-82,139351
662,818909	-80,566933
663,491821	-79,644531
664,164734	-79,393623
664,837646	-79,164909
665,510559	-79,498009
666,183472	-80,479340
666,856384	-79,839584
667,529297	-79,461670
668,202209	-78,951675
668,875122	-79,404755
669,548035	-81,432732
670,220947	-82,391663
670,893860	-83,857147
671,566772	-83,051468
672,239685	-81,929008
672,912598	-81,116875
673,585510	-82,474648
674,258423	-84,536186
674,931335	-88,537979
675,604248	-91,637787
676,277161	-89,256401
676,950073	-88,516586
677,622986	-91,692726
678,295898	-92,094727
678,968811	-87,736084
679,641724	-85,014114
680,314636	-84,750229
680,987549	-85,655304
681,660461	-85,042435
682,333374	-82,419907
683,006287	-81,888382
683,679199	-83,408463
684,352112	-85,603554
685,025024	-87,335159
685,697937	-86,566124
686,370850	-85,625648
687,043762	-84,031403
687,716675	-84,171867
688,389587	-85,229767
689,062500	-87,192780
689,735413	-88,870224
690,408325	-88,538902
691,081238	-86,039528
691,754150	-83,471878
692,427063	-82,863808
693,099976	-82,250710
693,772888	-82,342499
694,445801	-83,128036
695,118713	-82,988220
695,791626	-83,633636
696,464539	-85,775047
697,137451	-85,613708
697,810364	-83,868523
698,483276	-80,914093
699,156189	-79,330917
699,829102	-79,934349
700,502014	-80,217911
701,174927	-79,565376
701,847839	-80,170586
702,520752	-81,135834
703,193665	-81,659134
703,866577	-78,293747
704,539490	-76,569847
705,212402	-78,138397
705,885315	-81,934708
706,558228	-80,725739
707,231140	-79,728981
707,904053	-82,128143
708,576965	-86,966606
709,249878	-88,992302
709,922791	-87,504028
710,595703	-82,770279
711,268616	-83,445168
711,941528	-86,804962
712,614441	-87,695885
713,287354	-92,672127
713,960266	-86,589104
714,633179	-80,578941
715,306091	-76,206612
715,979004	-72,854584
716,651917	-70,361000
717,324829	-68,331207
717,997742	-66,603859
718,670654	-65,253044
719,343567	-64,262177
720,016479	-63,514454
720,689392	-63,122967
721,362305	-63,217068
722,035217	-63,582935
722,708130	-64,035881
723,381042	-64,698692
724,053955	-65,764915
724,726868	-67,245773
725,399780	-69,144447
726,072693	-71,315849
726,745605	-73,561905
727,418518	-76,463348
728,091431	-80,189285
728,764343	-82,961723
729,437256	-84,526093
730,110168	-83,240944
730,783081	-80,538589
731,455994	-80,007935
732,128906	-81,197876
732,801819	-81,141113
733,474731	-80,356468
734,147644	-81,171967
734,820557	-81,161072
735,493469	-78,247391
736,166382	-77,305893
736,839294	-77,119019
737,512207	-75,459595
738,185120	-74,013908
738,858032	-74,035583
739,530945	-73,479736
740,203857	-72,780754
740,876770	-72,883545
741,549683	-73,455147
742,222595	-73,441498
742,895508	-73,587265
743,568420	-74,708633
744,241333	-75,320518
744,914246	-75,237320
745,587158	-75,867645
746,260071	-76,521469
746,932983	-77,284294
747,605896	-78,232704
748,278809	-78,216545
